position,title
Q19116034,President
Q530785,Prime Minister
Q72245534,Minister of Agriculture
Q109927221,Minister for the Armed Forces
Q109927549,Minister of Civil Service
Q109927668,Minister of Community Development of Social and Territorial Equity
Q109927870,Minister of Culture and Communication
Q109928015,Minister of Digital Economy and Telecommunications
Q109927539,"Minister of Economy, Planning, and Cooperation"
Q109927916,Minister of Employment and Vocational Training
Q109927745,Minister of Environment and Sustainable Development
Q98714882,Minister of Finance
Q109927232,Minister for Finance and the Budget
Q109927706,Minister of Fisheries and Maritime Economy
Q5468295,Minister of Foreign Affairs
Q109928007,Minister of Handicrafts and Transformation of the Informal Sector
Q98731063,Minister of Health
Q109927638,"Minister of Higher Education, Research and Innovation"
Q109927690,Minister of Industrial Development and PMI
Q109927497,Minister of Infrastructure
Q98730157,Minister of the Interior
Q109927216,Minister of Justice
Q109927730,Minister of Labour
Q109927872,Minister of Livestock and Animal Production
Q109927893,Minister of Microfinance and Solidarity Economy
Q109927567,Minister of Mines and Geology
Q109927612,Minister of National Education
Q109927649,Minister of Petroleum and Energy
Q103959475,Minister of Social Development
Q109927761,Minister of Sports
Q109927602,Minister of Territorial Communities
Q109927596,Minister of Tourism and Air Transport
Q109927840,Minister of Town Planning and Public Hygiene
Q109927856,Minister of Trade and SMEs
Q109927590,Minister of Water and Sanitation
Q109927561,"Minister of Women, Family, Gender and Child Protection"
Q109927886,Minister of Youth
Q109927189,Speaker of the National Assembly
Q2961998,Chief of General Staff
